Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,23149-228271,Banjara Hills,Joint Venture,"Lower Ground Floor, GVK One, Road Number 1, Banjara Hills",Hyderabad,AP,IN,500034,,GMT+05:30 Asia/New_Delhi,78.45,17.42
Starbucks,23191-228548,Kukatpally,Joint Venture,"Upper Ground Floor, Forum Sujana Mall, Kukatpally",Hyderabad,AP,IN,500072,,GMT+05:30 Asia/New_Delhi,78.39,17.48
Starbucks,23193-228546,Madhapur,Joint Venture,"Lower Ground Floor, Inorbit Mall, Madhapur",Hyderabad,AP,IN,500081,,GMT+05:30 Asia/New_Delhi,78.39,17.43
Starbucks,23180-228545,Jubilee Hills,Joint Venture,"Ground Floor, Road No. 92, Near Apollo hospital, Jubilee Hills",Hyderabad,AP,IN,500033,,GMT+05:30 Asia/New_Delhi,78.42,17.42
Starbucks,24457-238129,Hi-Tech City,Joint Venture,"Upper Ground Floor, Phoenix tower A, Opposite Trident Hotel, Madhapur Village",Hyderabad,AP,IN,500084,,GMT+05:30 Asia/New_Delhi,78.38,17.45
Starbucks,23664-232349,Mindspace,Joint Venture,"Mindspace, Hitech City",Hyderabad,AP,IN,500081,,GMT+05:30 Asia/New_Delhi,78.38,17.45
Starbucks,20874-208485,Punjabi Bagh,Joint Venture,"1/83, Ground Floor , Club Road, West Punjabi Bagh",Delhi,DL,IN,110026,,GMT+05:30 Asia/New_Delhi,77.13,28.67
Starbucks,29491-254065,T3 Domestic Arrivals,Joint Venture,IGI Airport,Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.12,28.57
Starbucks,22446-221249,HUDA Metro Station,Joint Venture,"Ground Floor, South Wing, HUDA Metro Station",Gurgaon,DL,IN,122009,,GMT+05:30 Asia/New_Delhi,77.07,28.46
Starbucks,23392-229965,R K Puram,Joint Venture,"Sangam Courtyard, Major Somnath Marg, Sector 9, R.K Puram",New Delhi,DL,IN,110021,,GMT+05:30 Asia/New_Delhi,77.17,28.57
Starbucks,25522-241268,Indira Gandhi International Airport,Joint Venture,"Domestic Departure, Terminal 1D",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.12,28.56
Starbucks,23666-232345,Subhash Nagar,Joint Venture,"Ground Floor, Pacific Mall, Subhash Nagar",New Delhi,DL,IN,110018,,GMT+05:30 Asia/New_Delhi,77.11,28.64
Starbucks,18971-197487,Vasant Kunj - Ambience Mall,Joint Venture,"1st Floor, Ambience Mall, Nelson Mandela Marg",New Delhi,DL,IN,110070,,GMT+05:30 Asia/New_Delhi,77.16,28.54
Starbucks,19363-201204,Saket,Joint Venture,"Ground Floor, Select City Walk Mall",New Delhi,DL,IN,110017,,GMT+05:30 Asia/New_Delhi,77.22,28.53
Starbucks,19518-200666,Nehru Place,Joint Venture,"Lower Ground Floor, Nehru Place Metro Station",New Delhi,DL,IN,110064,,GMT+05:30 Asia/New_Delhi,77.25,28.55
Starbucks,19063-198205,Connaught Place - A Block,Joint Venture,"Hamilton House, A Block, Inner Circle",New Delhi,DL,IN,110001,,GMT+05:30 Asia/New_Delhi,77.22,28.63
Starbucks,22570-222670,Connaught Place - N Block,Joint Venture,"N 16, N Block, Outer Circle, Connaught Place",New Delhi,DL,IN,110001,,GMT+05:30 Asia/New_Delhi,77.22,28.63
Starbucks,24736-238828,Vasant Kunj - DLF Promenade,Joint Venture,"First Floor, DLF Promenade, Vasant Kunj",New Delhi,DL,IN,110070,,GMT+05:30 Asia/New_Delhi,77.16,28.54
Starbucks,21764-215225,Pitampura,Joint Venture,"Ground Floor, HB Twin Towers, Netaji Subhash Pl, Pitampura",New Delhi,DL,IN,110034,,GMT+05:30 Asia/New_Delhi,77.15,28.69
Starbucks,20176-203905,Greater Kailash 1,Joint Venture,"M Block Market, Greater Kailash 1",New Delhi,DL,IN,110048,,GMT+05:30 Asia/New_Delhi,77.24,28.55
Starbucks,19513-197406,Indira Gandhi Itnl Arpt-T3Gate15,Joint Venture,"International Departure, Near Gate 15, Terminal  3",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.1,28.56
Starbucks,19514-197404,Indira Gandhi Itnl Arpt-T3Gate27,Joint Venture,"Domestic Departure, Near Gate 27, Terminal  3",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.1,28.56
Starbucks,27717-248629,Hauz Khas,Joint Venture,"Ground Floor, Power House, Hauz Khas Village, Hauz Khas",New Delhi,DL,IN,110016,,GMT+05:30 Asia/New_Delhi,77.19,28.55
Starbucks,22572-222668,Greater Kailash 2,Joint Venture,"Ground Floor, M-11, M-Block, Main Mrkt, Greater Kailash Pt2",New Delhi,DL,IN,110048,,GMT+05:30 Asia/New_Delhi,77.24,28.53
Starbucks,25654-241824,M G Road,Joint Venture,"Upper Ground Floor, MGF Metropolis, M G Road",Gurgaon,HR,IN,122002,,GMT+05:30 Asia/New_Delhi,77.08,28.48
Starbucks,21333-211367,Sector 29,Joint Venture,"SCO 39, Ground Floor, Sector 29",Gurgaon,HR,IN,122001,,GMT+05:30 Asia/New_Delhi,77.06,28.47
Starbucks,29490-254064,One Horizon Center,Joint Venture,Golf Course Road,Gurgaon,HR,IN,122003,,GMT+05:30 Asia/New_Delhi,77.09,28.48
Starbucks,21652-213925,DLF Cyber Hub,Joint Venture,"Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,IN,122002,,GMT+05:30 Asia/New_Delhi,77.09,28.5
Starbucks,18973-197486,Ambience Island,Joint Venture,"Ground Floor, Ambience Mall, Ambience Island, NH 8",Gurgaon,HR,IN,110011,,GMT+05:30 Asia/New_Delhi,77.1,28.5
Starbucks,24737-238830,Sohna Road -,Joint Venture,"Grd Flr, Block C, Vatika Business Park, Sector 49, Sohna Road",Gurgaon,HR,IN,122001,,GMT+05:30 Asia/New_Delhi,77.05,28.41
Starbucks,21816-215552,Malleswaram - Orion Mall,Joint Venture,"Grd Flr Orion Mall, Brigade Gateway, Dr Rajkumar Road, Malleswaram",Bangalore,KA,IN,560055,,GMT+05:30 Asia/New_Delhi,77.56,13.01
Starbucks,23293-229025,JP Nagar,Joint Venture,"100 feet ring road, K.A.S Officer, KAS Off HBCS layout,4th Phase,JP Nagar",Bangalore,KA,IN,560078,,GMT+05:30 Asia/New_Delhi,77.59,12.91
Starbucks,21965-216488,Mahadevapura,Joint Venture,"Upper Ground Floor, Phoenix Market City,, Whitefield Road, Mahadevapura",Bangalore,KA,IN,560048,,GMT+05:30 Asia/New_Delhi,77.7,13
Starbucks,21606-213485,Koramangala,Joint Venture,"Ground Floor, 7th block, Near Forum Mall, Koramangla Industrial Layout",Bangalore,KA,IN,560095,,GMT+05:30 Asia/New_Delhi,77.61,12.94
Starbucks,22449-221247,Indiranagar,Joint Venture,"Grd Flr, Samrat Bldg, HAL II Stage, 100 ft Rd, Indiranagar",Bangalore,KA,IN,560038,,GMT+05:30 Asia/New_Delhi,77.64,12.97
Starbucks,23150-228269,Malleswaram - Mantri Mall,Joint Venture,"Upper grd flr,Mantri Mall,Mantri Sq No1, Sampangiram Nagar, Malleswaram",Bangalore,KA,IN,560003,,GMT+05:30 Asia/New_Delhi,77.57,12.99
Starbucks,23148-228268,Sadashiv Nagar,Joint Venture,"403, Ground Floor, 8th Main Road, Sadashiv Nagar",Bangalore,KA,IN,560080,,GMT+05:30 Asia/New_Delhi,77.58,13.01
Starbucks,24432-237928,Whitefield,Joint Venture,"Ground floor, Prestige Shantiniketan, Crescent 4, Whitefield Main Road",Bangalore,KA,IN,560048,,GMT+05:30 Asia/New_Delhi,77.73,12.99
Starbucks,22445-221246,Benniganahalli,Joint Venture,"Ground Floor, RMZ Infinity, The Bay, #3 Old Madras Road, Benniganahalli",Bangalore,KA,IN,560016,,GMT+05:30 Asia/New_Delhi,77.66,12.99
Starbucks,21743-215051,Church Street,Joint Venture,"Ground Floor, Prestige RR Building, 55 and 51/1 Church Street",Bangalore,MH,IN,560001,,GMT+05:30 Asia/New_Delhi,77.61,12.97
Starbucks,22456-221251,Prabhadevi,Joint Venture,"Upper Ground Floor, Century Bhavan, Century Bazaar, Prabhadevi",Mumbai,MH,IN,400030,,GMT+05:30 Asia/New_Delhi,72.82,19.01
Starbucks,19524-202205,Malad West - Infiniti Mall,Joint Venture,"Upper Ground Floor, Infiniti Mall, Link Road,  Malad (West)",Mumbai,MH,IN,400064,,GMT+05:30 Asia/New_Delhi,72.83,19.18
Starbucks,21450-211905,Santacruz West,Joint Venture,"Grd Flr Red Chillies Entertainment Bldg, Jct of 15th Rd and Ram Krishna MissionRd",Mumbai,MH,IN,400054,,GMT+05:30 Asia/New_Delhi,72.83,19.08
Starbucks,22539-222210,Nariman Point,Joint Venture,"Ground Floor, Shree Nirmal Building, Behind Trident Hotel, Nariman Point",Mumbai,MH,IN,400021,,GMT+05:30 Asia/New_Delhi,72.82,18.93
Starbucks,24458-238127,Andheri West - Four Bunglows,Joint Venture,"Kokilaben Dhirubhai Ambani Hospital, Four Bunglows, Andheri (West)",Mumbai,MH,IN,400053,,GMT+05:30 Asia/New_Delhi,72.82,19.13
Starbucks,18225-189165,Fort,Joint Venture,"Elphinstone Building, Horniman Circle, Veer Nariman Road, Fort",Mumbai,MH,IN,400001,,GMT+05:30 Asia/New_Delhi,72.83,18.93
Starbucks,20778-207865,Bandra West - Chapel road,Joint Venture,"Reclamation, Chapel Road, Near Lilavati Hospital",Mumbai,MH,IN,400050,,GMT+05:30 Asia/New_Delhi,72.83,19.05
Starbucks,22452-221250,Andheri West - Infiniti Mall,Joint Venture,"Ground Floor, Infiniti Mall, New Link Road, Andheri (West)",Mumbai,MH,IN,400053,,GMT+05:30 Asia/New_Delhi,72.83,19.14
Starbucks,19034-197924,Ghatkopar West,Joint Venture,"Gound Floor, R City Mall, Lal Bahadur Shastri Marg",Mumbai,MH,IN,400086,,GMT+05:30 Asia/New_Delhi,72.92,19.1
Starbucks,21329-210768,Thane West - Viviana Mall,Joint Venture,"Ground Floor, Viviana Mall, Thane West, Opp Eastern Express Highway",Mumbai,MH,IN,400606,,GMT+05:30 Asia/New_Delhi,72.97,19.21
Starbucks,18409-190784,Elphinstone Road (West),Joint Venture,"First Floor, Tower 2 Lobby, Indiabulls Finance Centre",Mumbai,MH,IN,400013,,GMT+05:30 Asia/New_Delhi,72.84,19.01
Starbucks,23292-229027,Chhatrapati Shivaji Intnl-T2Arrival,Joint Venture,"International Arrivals, Andheri (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.87,19.1
Starbucks,26082-243524,Bandra East - One BKC,Joint Venture,"A wing, Ground Floor, One BKC, G Block,BandraBurlaComplex,BandraEast",Mumbai,MH,IN,400 051,,GMT+05:30 Asia/New_Delhi,72.85,19.06
Starbucks,20457-205766,Thane West - Korum Mall,Joint Venture,"Upper Ground Level, Korum Mall, Off Eastern Express highway",Mumbai,MH,IN,400601,,GMT+05:30 Asia/New_Delhi,72.97,19.2
Starbucks,24734-238829,Vikhroli East,Joint Venture,"Ground Floor, Godrej One Building, Pirojshanagar, Vikhroli (East)",Mumbai,MH,IN,400079,,GMT+05:30 Asia/New_Delhi,72.92,19.09
Starbucks,21967-216487,Lower Parel - High Street Phoenix,Joint Venture,"First floor, High Street Phoenix Mall, Senapati Bapat Marg, Lower Parcel",Mumbai,MH,IN,400013,,GMT+05:30 Asia/New_Delhi,72.82,19
Starbucks,26080-243526,Lower Parel - Marathon Futurex,Joint Venture,"Upper Ground Floor, Marathon Futurex, NM Joshi Marg, Lower Parel",Mumbai,MH,IN,400013,,GMT+05:30 Asia/New_Delhi,72.83,19
Starbucks,24199-236567,Bandra West - Link corner,Joint Venture,"Off Linking Road, Corner of 24th & 33rd Rd, Bandra West",Mumbai,MH,IN,400050,,GMT+05:30 Asia/New_Delhi,72.83,19.07
Starbucks,25658-242046,Vile Parle West,Joint Venture,"Grd Flr, Tian Star, 48 Gulmohar Road, Juhu Scheme, Vile Parle (West)",Mumbai,MH,IN,400049,,GMT+05:30 Asia/New_Delhi,72.83,19.11
Starbucks,23290-229028,Chhatrapati Shivaji International A,Joint Venture,"T2 Departure SHA, Level P9, Food Court, Andheri (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.88,19.1
Starbucks,19530-197407,Bandra East - FIFC,Joint Venture,"First International Financial Centre, Bandra Kurla Complex Road, Bandra (East)",Mumbai,MH,IN,400051,,GMT+05:30 Asia/New_Delhi,72.87,19.07
Starbucks,18224-189164,Colaba,Joint Venture,"Hotel Taj Mahal Palace, Apollo Bunder, Apollo Bunder, Opp. Gateway of India",Mumbai,MH,IN,400005,,GMT+05:30 Asia/New_Delhi,72.83,18.92
Starbucks,24456-238128,Kurla West,Joint Venture,"First Floor, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla (West)",Mumbai,MH,IN,400070,,GMT+05:30 Asia/New_Delhi,72.89,19.09
Starbucks,26081-243527,Malad West - Inorbit Mall,Joint Venture,"Ground Floor, Inorbit Mall, Link Road,  Malad (West)",Mumbai,MH,IN,400064,,GMT+05:30 Asia/New_Delhi,72.84,19.17
Starbucks,21709-214285,Bandra East - The Capital,Joint Venture,"Ground Floor, The Capital, Bandra Kurla Complex, Bandra (East)",Mumbai,MH,IN,400051,,GMT+05:30 Asia/New_Delhi,72.86,19.06
Starbucks,18649-193713,Powai,Joint Venture,"Prudential Bldg Hiranandani Bus Park, Gr Fl, Central Avenue Road",Mumbai,MH,IN,400076,,GMT+05:30 Asia/New_Delhi,72.91,19.12
Starbucks,22935-226264,Goregaon East- Nirlon KnowledgePark,Joint Venture,"Grd floor,Block B6,Nirlon Knowledge Pk, Off Western Express Highway",Mumbai,MH,IN,400063,,GMT+05:30 Asia/New_Delhi,72.85,19.16
Starbucks,17857-186566,Goregaon East - Oberoi Mall,Joint Venture,"Off Western Express Highway, Goregaon (East)",Mumbai,MH,IN,400063,,GMT+05:30 Asia/New_Delhi,72.86,19.17
Starbucks,19618-200365,Chhatrapati Shivaji DomesticAirport,Joint Venture,"Domestic Arrivals, Terminal 1B, Santa Cruz (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.86,19.09
Starbucks,21105-209366,Juhu,Joint Venture,"Ground Floor, Hotel Bawa Continental, Juhu Tara Road",Mumbai,MH,IN,400049,,GMT+05:30 Asia/New_Delhi,72.83,19.1
Starbucks,21818-215805,Kandivali West,Joint Venture,"Ground Floor, V Souk, Sector 10, Mahavir Nagar, Kandivali (West)",Mumbai,MH,IN,400067,,GMT+05:30 Asia/New_Delhi,72.84,19.21
Starbucks,22934-226265,Girgaon Chowpatty,Joint Venture,"Shree Krishna Hindu Merchant Club, By Wilson College,Girgaon Chowpatty",Mumbai,MH,IN,400007,,GMT+05:30 Asia/New_Delhi,72.81,18.96
Starbucks,22047-217305,Vashi,Joint Venture,"Ground Floor, Inorbit Mall, Sector 30A, Vashi",Navi Mumbai,MH,IN,400705,,GMT+05:30 Asia/New_Delhi,73,19.07
Starbucks,21602-213484,Kamla Nagar,Joint Venture,"First Floor, Spark Mall, Kamla Nagar",New Delhi,MH,IN,110017,,GMT+05:30 Asia/New_Delhi,77.2,28.68
Starbucks,20477-206185,Viman Nagar,Joint Venture,"Ground floor, Phoenix Market City, Viman Nagar",Pune,MH,IN,411014,,GMT+05:30 Asia/New_Delhi,73.92,18.56
Starbucks,25677-236568,Sangam Solitaire,Joint Venture,"Sangam Press Road, Kothrud",Pune,MH,IN,411029,,GMT+05:30 Asia/New_Delhi,73.82,18.5
Starbucks,21819-215804,Aundh,Joint Venture,"Ground floor, Centriole, Anand Park, ITI Road, Aundh",Pune,MH,IN,411008,,GMT+05:30 Asia/New_Delhi,73.81,18.56
Starbucks,21828-215807,Magarpatta,Joint Venture,"First Floor, Seasons Mall, Magarpatta City, Hadapsar",Pune,MH,IN,411028,,GMT+05:30 Asia/New_Delhi,73.93,18.52
Starbucks,20455-205764,Koregaon Park,Joint Venture,"1 Galaxy Gardens, North Main Road",Pune,MH,IN,411001,,GMT+05:30 Asia/New_Delhi,73.89,18.54
Starbucks,22444-221266,Kharadi,Joint Venture,"Ground Floor, EON Free Zone, Cluster A, MIDC, Kharadi Knowledge Park",Pune,MH,IN,411014,,GMT+05:30 Asia/New_Delhi,73.95,18.55
Starbucks,21335-210964,Hadapsar,Joint Venture,"Ground Floor, West Block, Amanora Town Centre, Hadapsar",Pune,MH,IN,411028,,GMT+05:30 Asia/New_Delhi,73.94,18.52
Starbucks,23144-228270,FC Road,Joint Venture,"Mosaic Ground Floor West, Across Fergusson College Gate 2, FC Rd",Pune,MH,IN,411004,,GMT+05:30 Asia/New_Delhi,73.84,18.52
Starbucks,26083-243525,Numgambakkam,Joint Venture,"Ground Floor, Bergamo Mall, Khadar Nawas Khan Road",Chennai,TN,IN,600006,,GMT+05:30 Asia/New_Delhi,80.25,13.06
Starbucks,25647-242045,Royapettah,Joint Venture,"Ground Floor, Express Avenue Mall, Whites Road, Royapettah",Chennai,TN,IN,600014,,GMT+05:30 Asia/New_Delhi,80.26,13.06
Starbucks,25269-240401,Anna Nagar,Joint Venture,"TBR tower, Y block, 2nd Avenue, Near Ayyappa Temple, Anna Nagar",Chennai,TN,IN,600040,,GMT+05:30 Asia/New_Delhi,80.21,13.09
Starbucks,23145-228267,Velachery,Joint Venture,"Upper Ground Floor, Phoenix marketcity, Velachery Main Road",Chennai,TN,IN,600042,,GMT+05:30 Asia/New_Delhi,80.22,12.99
Starbucks,27719-248626,Alwarpet,Joint Venture,"Ground Floor, MGN Splendor, Off Chamiers Road, Alwarpet",Chennai,TN,IN,600018,,GMT+05:30 Asia/New_Delhi,80.25,13.03
Starbucks,25065-239844,Sector 16,Joint Venture,"Ground Floor, Gardens Galleria, Sector 16",Noida,UP,IN,201301,,GMT+05:30 Asia/New_Delhi,77.33,28.57